	Ritregla	ex_1_standardized	ex_2_standardized	ex_3_standardized	ex_1_original	ex_2_original	ex_3_original	ex_1_byt5-22-09	ex_2_byt5-22-09	ex_3_byt5-22-09	ex_1_byt5-23-12	ex_2_byt5-23-12	ex_3_byt5-23-12	ex_1_byt5-24-03	ex_2_byt5-24-03	ex_3_byt5-24-03	ex_1_greynir	ex_2_greynir	ex_3_greynir	ex_1_google	ex_2_google	ex_3_google	ex_1_word	ex_2_word	ex_3_word	ex_1_puki	ex_2_puki	ex_3_puki	ex_1_skrambi	ex_2_skrambi	ex_3_skrambi	ex_1_ice-gpt-sw3	ex_2_ice-gpt-sw3	ex_3_ice-gpt-sw3
25	1.2.2.5 b	Hún er í verktakavinnu fyrir Bandalag íslenskra skáta.	Hann er félagi í Karlakór Akureyrar.	Ísland á aðild að Evrópska efnahagssvæðinu.	Hún er í verktakavinnu fyrir bandalag íslenskra skáta.	Hann er félagi í karlakór Akureyrar.	Ísland á aðild að evrópska efnahagssvæðinu.	Hún er í verktakavinnu fyrir Bandalag íslenskra skáta.	Hann er félagi í karlakór Akureyrar.	Ísland á aðild að evrópska efnahagssvæðinu.	Hún er í verktakavinnu fyrir Bandalag íslenskra skáta.	Hann er félagi í karlakór Akureyrar.	Ísland á aðild að Evrópska efnahagssvæðinu.	Hún er í verktakavinnu fyrir Bandalag íslenskra skáta.	Hann er félagi í karlakór Akureyrar.	Ísland á aðild að Evrópska efnahagssvæðinu.	Hún er í verktakavinnu fyrir bandalag íslenskra skáta.	Hann er félagi á karlakór Akureyrar.	Ísland á aðild að evrópska efnahagssvæðinu.	Hún er í verktakavinnu fyrir bandalag íslenskra skáta.	Hann er félagi í karlakór Akureyrar.	Ísland á aðild að evrópska efnahagssvæðinu.	Hún er í verktakavinnu fyrir bandalag íslenskra skáta.	Hann er félagi í karlakór Akureyrar.	Ísland á aðild að evrópska efnahagssvæðinu.	Hún er í verktakavinnu fyrir bandalag íslenskra skáta.	Hann er félagi í karlakór Akureyrar.	Ísland á aðild að evrópska efnahagssvæðinu.	Hún er í verktakavinnu fyrir bandalag íslenskra skáta.	Hann er félagi í karlakór Akureyrar.	Ísland á aðild að evrópska efnahagssvæðinu.	Hún er í verktakavinnu fyrir bandalag íslenskra skáta.	Hann er félagi í karlakór Akureyrar.	Ísland á aðild að evrópska efnahagssvæðinu.
26	1.2.3.1	Á svæðinu bjuggu aðallega Arabar.	Sífellt fleiri Danir fara til Íslands í sumarfrí.	Margir Palestínumenn hafa verið hraktir á brott.	Á svæðinu bjuggu aðallega arabar.	Sífellt fleiri danir fara til Íslands í sumarfrí.	Margir palestínumenn hafa verið hraktir á brott.	Á svæðinu bjuggu aðallega Arabar.	Sífellt fleiri Danir fara til Íslands í sumarfrí.	Margir Palestínumenn hafa verið hraktir á brott.	Á svæðinu bjuggu aðallega Arabar.	Sífellt fleiri Danir fara til Íslands í sumarfrí.	Margir Palestínumenn hafa verið hraktir á brott.	Á svæðinu bjuggu aðallega arabar.	Sífellt fleiri Danir fara til Íslands í sumarfrí.	Margir palestínumenn hafa verið hraktir á brott.	Á svæðinu bjuggu aðallega Arabar.	Sífellt fleiri Danir fara til Íslands í sumarfrí.	Margir Palestínumenn hafa verið hraktir á brott.	Á svæðinu bjuggu aðallega arabar.	Sífellt fleiri danir fara til Íslands í sumarfrí.	Margir palestínumenn hafa verið hraktir á brott.	Á svæðinu bjuggu aðallega arabar.	Sífellt fleiri dánir fara til Íslands í sumarfrí.	Margir Palestínumenn hafa verið hraktir á brott.	Á svæðinu bjuggu aðallega arabar.	Sífellt fleiri anir fara til Íslands í sumarfrí.	Margir Palestínumenn hafa verið hraktir á brott.	Á svæðinu bjuggu aðallega arabar.	Sífellt fleiri Danir fara til Íslands í sumarfrí.	Margir Palestínumenn hafa verið hraktir á brott.	Á svæðinu bjuggu aðallega Arabar.	Sífellt fleiri Danir fara til Íslands í sumarfrí.	Margir Palestínumenn hafa verið hraktir á brott.
27	1.2.3.2 a	Það vinna engir Vesturbæingar hér.	Margir Mývetningar hafa áhyggjur af stöðunni.	Lið KFA er eingöngu skipað Austfirðingum.	Það vinna engir vesturbæingar hér.	Margir mývetningar hafa áhyggjur af stöðunni.	Lið KFA er eingöngu skipað austfirðingum.	Það vinna engir Vesturbæingar hér.	Margir Mývetningar hafa áhyggjur af stöðunni.	Lið KFA er eingöngu skipað Austfirðingum.	Það vinna engir Vesturbæingar hér.	Margir Mývetningar hafa áhyggjur af stöðunni.	Lið KFA er eingöngu skipað Austfirðingum.	Það vinna engir vesturbæingar hér.	Margir Mývetningar hafa áhyggjur af stöðunni.	Lið KFA er eingöngu skipað austfirðingum.	Það vinna engir Vesturbæingar hér.	Margir Mývetningar hafa áhyggjur af stöðunni.	Lið KFA er eingöngu skipað Austfirðingum.	Það vinna engir vesturbæingar hér.	Margir mývetningar hafa áhyggjur af stöðunni.	Lið KFA er eingöngu skipað austfirðingum.	Það vinna engir vesturbæina hér.	Margir mývetningar hafa áhyggjur af stöðunni.	Lið KFA er eingöngu skipað Austfirðingum.	Það vinna engir vesturbæingar hér.	Margir Mývetningar hafa áhyggjur af stöðunni.	Lið KFA er eingöngu skipað austfirðingum.	Það vinna engir Vesturbæingar hér.	Margir mýetningar hafa áhyggjur af stöðunni.	Lið KAFA er eingöngu skipað Austfirðingum.	Það vinna engir Vesturbæingar hér.	Margir mývetningar hafa áhyggjur af stöðunni.	Lið KFA er eingöngu skipað Austfirðingum.
28	1.2.3.2 b	Það voru Ásbirningar sem unnu orrustuna.	Sturlungaöld er kennd við Sturlunga.	Ein fjölmennasta ættin á Íslandi er Arnardalsætt.	Það voru ásbirningar sem unnu orrustuna.	Sturlungaöld er kennd við sturlunga.	Ein fjölmennasta ættin á Íslandi er arnardalsætt.	Það voru ásbirningar sem unnu orrustuna.	Sturlungaöld er kennd við sturlunga.	Ein fjölmennasta ættin á Íslandi er arnardalsætt.	Það voru ásbirningar sem unnu orrustuna.	Sturlungaöld er kennd við sturlunga.	Ein fjölmennasta ættin á Íslandi er Arnardalsætt.	Það voru ásbirningar sem unnu orrustuna.	Sturlungaöld er kennd við Sturlunga.	Ein fjölmennasta ættin á Íslandi er arnardalsætt.	Það voru Ásbirningar sem unnu orrustuna.	Sturlungaöld er kennd við Sturlunga.	Ein fjölmennasta ættin á Íslandi er Arnardalsætt.	Það voru ásbirningar sem unnu orrustuna.	Sturlungaöld er kennd við sturlunga.	Ein fjölmennasta ættin á Íslandi er arnardalsætt.	Það voru sakborningar sem unnu orrustuna.	Sturlungaöld er kennd við Sturlunga.	Ein fjölmennasta ættin á Íslandi er arnardalsætt.	Það voru Ásbirningar sem unnu orrustuna.	Sturlungaöld er kennd við Sturlunga.	Ein fjölmennasta ættin á Íslandi er arnardalsætt.	Það voru Ásbirningar sem unnu orrustuna.	Sturlungaöld er kennd við sturlunga.	Ein fjölmennasta ættin á Íslandi er arnardalsætt.	Það voru ásbirningar sem unnu orrustuna.	Sturlungaöld er kennd við sturlunga.	Ein fjölmennasta ættin á Íslandi er arnardalsætt.
29	1.2.3.2 c	Þau eru kannski úr Kópavogi en þau eru engir Blikar.	Fyrirliðar liðanna sem leika í úrvalsdeild spá því að Þórsarar verði Íslandsmeistarar.	Stuðningsmenn Geirs eru ósáttir við Gunnarsmenn.	Þau eru kannski úr Kópavogi en þau eru engir blikar.	Fyrirliðar liðanna sem leika í úrvalsdeild spá því að þórsarar verði Íslandsmeistarar.	Stuðningsmenn Geirs eru ósáttir við gunnarsmenn.	Þau eru kannski úr Kópavogi en þau eru engir blikar.	Fyrirliðar liðanna sem leika í úrvalsdeild spá því að Þórsarar verði Íslandsmeistarar.	Stuðningsmenn Geirs eru ósáttir við Gunnarsmenn.	Þau eru kannski úr Kópavogi en þau eru engir blikar.	Fyrirliðar liðanna sem leika í úrvalsdeild spá því að Þórsarar verði Íslandsmeistarar.	Stuðningsmenn Geirs eru ósáttir við Gunnarsmenn.	Þau eru kannski úr Kópavogi en þau eru engir blikar.	Fyrirliðar liðanna sem leika í úrvalsdeild spá því að Þórsarar verði Íslandsmeistarar.	Stuðningsmenn Geirs eru ósáttir við Gunnarsmenn.	Þau eru kannski úr Kópavogi en þau eru engir blikar.	Fyrirliðar liðanna sem leika í úrvalsdeild spá því að Þórsarar verði Íslandsmeistarar.	Stuðningsmenn Geirs eru ósáttir við Gunnarsmenn.	Þau eru kannski úr Kópavogi en þau eru engir blikar.	Fyrirliðar liðanna sem leika í úrvalsdeild spá því að þórsarar verði Íslandsmeistarar.	Stuðningsmenn Geirs eru ósáttir við gunnarsmenn.	Þau eru kannski úr Kópavogi en þau eru engir Blikar.	Fyrirliðar liðanna sem leika í úrvalsdeild spá því að Þórsarar verði Íslandsmeistarar.	Stuðningsmenn Geirs eru ósáttir við gunnarsmenn.	Þau eru kannski úr Kópavogi en þau eru engir blikar.	Fyrirliðar liðanna sem leika í úrvalsdeild spá því að Þórsarar verði Íslandsmeistarar.	Stuðningsmenn Geirs eru ósáttir við Gunnarsmenn.	Þau eru kannski úr Kópavogi en þau eru engir blikar.	Fyrirliðar liðanna sem leika í úrvalsdeild spá því að Þórvarar verði Íslandsmeistarar.	Stuðningsmenn Geirs eru ósáttir við gunnarsmenn.	Þau eru kannski úr Kópavogi en þau eru engir blikar.	Fyrirliðar liðanna sem leika í úrvalsdeild spá því að Þórsarar verði Íslandsmeistarar.	Stuðningsmenn Geirs eru ósáttir við Gunnar.
30	1.2.3.2 d	Hún er kannski bóndi en hún er engin Framsóknarkona.	Margir Repúblikanar voru ekki hrifnir af því að Donald Trump væri forsetaefni flokksins.	Í Þýskalandi mælast Kristilegir demókratar með meira fylgi en oftast áður.	Hún er kannski bóndi en hún er engin framsóknarkona.	Margir repúblikanar voru ekki hrifnir af því að Donald Trump væri forsetaefni flokksins.	Í Þýskalandi mælast kristilegir demókratar með meira fylgi en oftast áður.	Hún er kannski bóndi en hún er engin Framsóknarkona.	Margir Repúblikanar voru ekki hrifnir af því að Donald Trump væri forsetaefni flokksins.	Í Þýskalandi mælast kristilegir demókratar með meira fylgi en oftast áður.	Hún er kannski bóndi en hún er engin framsóknarkona.	Margir Repúblikanar voru ekki hrifnir af því að Donald Trump væri forsetaefni flokksins.	Í Þýskalandi mælast Kristilegir demókratar með meira fylgi en oftast áður.	Hún er kannski bóndi en hún er engin framsóknarkona.	Margir repúblikanar voru ekki hrifnir af því að Donald Trump væri forsetaefni flokksins.	Í Þýskalandi mælast kristilegir demókratar með meira fylgi en oftast áður.	Hún er kannski bóndi en hún er engin Framsóknarkona.	Margir Repúblikanar voru ekki hrifnir af því að Donald Trump væri forsetaefni flokksins.	Í Þýskalandi mælast kristilegir Demókratar með meira fylgi en oftast áður.	Hún er kannski bóndi en hún er engin framsóknarkona.	Margir repúblikanar voru ekki hrifnir af því að Donald Trump væri forsetaefni flokksins.	Í Þýskalandi mælast kristilegir demókratar með meira fylgi en oftast áður.	Hún er kannski bóndi en hún er engin framsóknarkona.	Margir repúblikanar voru ekki hrifnir af því að Donald Trump væri forsetaefni flokksins.	Í Þýskalandi mælast kristilegir demókratar með meira fylgi en oftast áður.	Hún er kannski bóndi en hún er engin framsóknarkona.	Margir repúblikanar voru ekki hrifnir af því að Donald Prump væri forsetaefni flokksins.	Í Þýskalandi mælast kristilegir demókratar með meira fylgi en oftast áður.	Hún er kannski bóndi en hún er engin framsóknarkona.	Margir repúblikanar voru ekki hrifnir af því að Donald Tramp væri forsetaefni flokksins.	Í Þýskalandi mælast kristilegir demókratar með meira fylgi en oftast áður.	Hún er kannski bóndi en hún er engin framsóknarkona.	Margir repúblikanar voru ekki hrifnir af því að Donald Trump væri forsetaefni flokksins.	Í Þýskalandi mælast kristilegir demókratar með meira fylgi en oftast áður.
31	1.2.4 a	Það voru nú ekki allir sem þáðu Marshall-aðstoð á sínum tíma.	Við ætlum til Færeyja á Ólafsvöku.	Mér finnst líklegt að hún hljóti Nóbelsverðlaunin fyrir þessa uppgötvun.	Það voru nú ekki allir sem þáðu marshall-aðstoð á sínum tíma.	Við ætlum til Færeyja á ólafsvöku.	Mér finnst líklegt að hún hljóti nóbelsverðlaunin fyrir þessa uppgötvun.	Það voru nú ekki allir sem þáðu marshall-aðstoð á sínum tíma.	Við ætlum til Færeyja á Ólafsvöku.	Mér finnst líklegt að hún hljóti nóbelsverðlaunin fyrir þessa uppgötvun.	Það voru nú ekki allir sem þáðu marshall-aðstoð á sínum tíma.	Við ætlum til Færeyja á Ólafsvöku.	Mér finnst líklegt að hún hljóti nóbelsverðlaunin fyrir þessa uppgötvun.	Það voru nú ekki allir sem þáðu marshall-aðstoð á sínum tíma.	Við ætlum til Færeyja á ólafsvöku.	Mér finnst líklegt að hún hljóti nóbelsverðlaunin fyrir þessa uppgötvun.	Það voru nú ekki allir sem þáðu marshall-aðstoð á sínum tíma.	Við ætlum til Færeyja á Ólafsvöku.	Mér finnst líklegt að hún hljóti nóbelsverðlaunin fyrir þessa uppgötvun.	Það voru nú ekki allir sem þáðu marshall-aðstoð á sínum tíma.	Við ætlum til Færeyja á ólafsvöku.	Mér finnst líklegt að hún hljóti nóbelsverðlaunin fyrir þessa uppgötvun.	Það voru nú ekki allir sem þáðu Marshall-aðstoð á sínum tíma.	Við ætlum til Færeyja á ólafsvöku.	Mér finnst líklegt að hún hljóti Nóbelsverðlaunin fyrir þessa uppgötvun.	Það voru nú ekki allir sem þáðu marshall-aðstoð á sínum tíma.	Við ætlum til Færeyja á ólafsvöku.	Mér finnst líklegt að hún hljóti nóbelsverðlaunin fyrir þessa uppgötvun.	Það voru nú ekki allir sem þáðu marshall-aðstoð á sínum tíma.	Við ætlum til Færeyja á Ólafsvöku.	Mér finnst líklegt að hún hljóti nóbelsverðlaunin fyrir þessa uppgötvun.	Það voru nú ekki allir sem þáðu marshall-aðstoð á sínum tíma.	Við ætlum til Færeyja á Ólafsvöku.	Mér finnst líklegt að hún hljóti nóbelsverðlaunin fyrir þessa uppgötvun.
32	1.2.4 b	Eina landið sem ég á eftir er Norður-Kórea.	Það fór oft í taugarnar á Nonna frænda að vera kallaður Litli-Jón.	Sagnfræðingar hafa rannsakað ítarlega hvernig vistarverur Forn-Grikkja voru.	Eina landið sem ég á eftir er norður-Kórea.	Það fór oft í taugarnar á Nonna frænda að vera kallaður litli-Jón.	Sagnfræðingar hafa rannsakað ítarlega hvernig vistarverur forn-Grikkja voru.	Eina landið sem ég á eftir er Norður-Kórea.	Það fór oft í taugarnar á Nonna frænda að vera kallaður litli-Jón.	Sagnfræðingar hafa rannsakað ítarlega hvernig vistarverur Forn-Grikkja voru.	Eina landið sem ég á eftir er Norður-Kórea.	Það fór oft í taugarnar á Nonna frænda að vera kallaður litli-Jón.	Sagnfræðingar hafa rannsakað ítarlega hvernig vistarverur forn-Grikkja voru.	Eina landið sem ég á eftir er Norður-Kórea.	Það fór oft í taugarnar á Nonna frænda að vera kallaður litli-Jón.	Sagnfræðingar hafa rannsakað ítarlega hvernig vistarverur forn-Grikkja voru.	Eina landið sem ég á eftir er norður-Kórea.	Það fór oft í taugarnar á Nonna frænda að vera kallaður litli-Jón.	Sagnfræðingar hafa rannsakað ítarlega hvernig vistarverur forn-Grikkja voru.	Eina landið sem ég á eftir er norður-Kórea.	Það fór oft í taugarnar á Nonna frænda að vera kallaður litli-Jón.	Sagnfræðingar hafa rannsakað ítarlega hvernig vistarverur forn-Grikkja voru.	Eina landið sem ég á eftir er Norður-Kórea.	Það fór oft í taugarnar á Nonna frænda að vera kallaður litli-Jón.	Sagnfræðingar hafa rannsakað ítarlega hvernig vistarverur Forn-Grikkja voru.	Eina landið sem ég á eftir er norður-Kórea.	Það fór oft í taugarnar á Nonna frænda að vera kallaður litli-Jón.	Sagnfræðingar hafa rannsakað ítarlega hvernig vistarverur forn-Grikkja voru.	Eina landið sem ég á eftir er norður-Kórea.	Það fór oft í taugarnar á Norna frænda að vera kallaður litli-Jón.	Sagnfræðingar hafa rannsakað ítarlega hvernig vistarverur forn-Grikkja voru.	Eina landið sem ég á eftir er Norður-Kórea.	Það fór oft í taugarnar á Nonna frænda að vera kallaður litli-Jón.	Sagnfræðingar hafa rannsakað ítarlega hvernig vistarverur forn-Grikkja voru.
33	1.2.4 c	Sögur segja að hér hafi Fjalla-Eyvindur dvalið.	„Mikil er sú gigt sem mig ætlar lifandi að drepa,“ sagði Grasa-Gudda.	Var hann síðan kallaður Skalla-Grímur.	Sögur segja að hér hafi fjalla-Eyvindur dvalið.	„Mikil er sú gigt sem mig ætlar lifandi að drepa,“ sagði grasa-Gudda.	Var hann síðan kallaður skalla-Grímur.	Sögur segja að hér hafi fjalla-Eyvindur dvalið.	„Mikil er sú gigt sem mig ætlar lifandi að drepa,“ sagði grasa-Gudda.	Var hann síðan kallaður skalla-Grímur.	Sögur segja að hér hafi fjalla-Eyvindur dvalið.	„Mikil er sú gigt sem mig ætlar lifandi að drepa,“ sagði grasa-Gudda.	Var hann síðan kallaður skalla-Grímur.	Sögur segja að hér hafi fjalla-Eyvindur dvalið.	„Mikil er sú gigt sem mig ætlar lifandi að drepa,“ sagði grasa-Gudda.	Var hann síðan kallaður skalla-Grímur.	Sögur segja að hér hafi fjalla-Eyvindur dvalið.	„Mikil er sú gigt sem mig ætlar lifandi að drepa,“ sagði grasa-Gudda.	Var hann síðan kallaður skalla-Grímur.	Sögur segja að hér hafi fjalla-Eyvindur dvalið.	„Mikil er sú gigt sem mig ætlar lifandi að drepa,“ sagði grasaGudda.	Var hann síðan kallaður skalla-Grímur.	Sögur segja að hér hafi Fjalla-Eyvindur dvalið.	„Mikil er sú gigt sem mig ætlar lifandi að drepa,“ sagði grasa-Gudda.	Var hann síðan kallaður Skallagrímur.	Sögur segja að hér hafi fjalla-Eyvindur dvalið.	„Mikil er sú gigt sem mig ætlar lifandi að drepa,“ sagði grasa-Gudda.	Var hann síðan kallaður skalla-Grímur.	Sögur segja að hér hafi fjalla-Eyvindur dvalið.	„Mikil er sú gigt sem mig ætlar lifandi að drepa,“ sagði grasa-Gudda.	Var hann síðan kallaður skalla-Grímur.	Sögur segja að hér hafi fjalla-Eyvindur dvalið.	„Mikil er sú gigt sem mig ætlar lifandi að drepa,“ sagði grasa-Gudda.	Var hann síðan kallaður skalla-Grímur.
34	1.2.5.2	En hún er ekki einu sinni búin með BA-próf.	Norðmenn hyggjast ekki sækja um ESB-aðild.	Fjöldi úrlausna í A-hluta prófsins var 38.	En hún er ekki einu sinni búin með ba-próf.	Norðmenn hyggjast ekki sækja um esb-aðild.	Fjöldi úrlausna í a-hluta prófsins var 38.	En hún er ekki einu sinni búin með ba-próf.	Norðmenn hyggjast ekki sækja um ESB-aðild.	Fjöldi úrlausna í a-hluta prófsins var 38.	En hún er ekki einu sinni búin með ba-próf.	Norðmenn hyggjast ekki sækja um ESB-aðild.	Fjöldi úrlausna í a-hluta prófsins var 38.	En hún er ekki einu sinni búin með BA-próf.	Norðmenn hyggjast ekki sækja um ESB-aðild.	Fjöldi úrlausna í a-hluta prófsins var 38.	En hún er ekki einu sinni búin með ba-próf.	Norðmenn hyggjast ekki sækja um esb-aðild.	Fjöldi úrlausna í A-Hluta prófsins var 38.	En hún er ekki einu sinni búin með ba-próf.	Norðmenn hyggjast ekki sækja um esb-aðild.	Fjöldi úrlausna í a-hluta prófsins var 38.	En hún er ekki einu sinni búin með BA-próf.	Norðmenn hyggjast ekki sækja um ESB-aðild.	Fjöldi úrlausna í A-hluta prófsins var 38.	En hún er ekki einu sinni búin með a-próf.	Norðmenn hyggjast ekki sækja um ESB-aðild.	Fjöldi úrlausna í a-hluta prófsins var 38.	En hún er ekki einu sinni búin með ba-próf.	Norðmenn hyggjast ekki sækja um esb-aðild.	Fjöldi úrlausna í a-hluta prófsins var 38.	En hún er ekki einu sinni búin með BA-próf.	Norðmenn hyggjast ekki sækja um ESB-aðild.	Fjöldi úrlausna í a-hluta prófsins var 38.
35	1.3.2 a	Hann er ekki lengur forseti Íslands.	Hvað ætli doktor Margrét segi við þessu?	Simbi sjómaður siglir djarft um höfin blá.	Hann er ekki lengur Forseti Íslands.	Hvað ætli Doktor Margrét segi við þessu?	Simbi Sjómaður siglir djarft um höfin blá.	Hann er ekki lengur forseti Íslands.	Hvað ætli Doktor Margrét segi við þessu?	Simbi sjómaður siglir djarft um höfin blá.	Hann er ekki lengur forseti Íslands.	Hvað ætli Doktor Margrét segi við þessu?	Simbi sjómaður siglir djarft um höfin blá.	Hann er ekki lengur forseti Íslands.	Hvað ætli Doktor Margrét segi við þessu?	Simbi Sjómaður siglir djarft um höfin blá.	Hann er ekki lengur forseti Íslands.	Hvað ætli doktor Margrét segi við þessu?	Simbi Sjómaður siglir djarft um höfin blá.	Hann er ekki lengur Forseti Íslands.	Hvað ætli Doktor Margrét segi við þessu?	Simbi Sjómaður siglir djarft um höfin blá.	Hann er ekki lengur Forseti Íslands.	Hvað ætli Doktor Margrét segi við þessu?	Simbi Sjómaður siglir djarft um höfin blá.	Hann er ekki lengur Forseti Íslands.	Hvað ætli Doktor Margrét segi við þessu?	Simbi Sjómaður siglir djarft um höfin blá.	Hann er ekki lengur Forseti Íslands.	Hvað ætli Doktor Margrét segi við þessu?	imbi Sjómaður siglir djarft um höfin blá.	Hann er ekki lengur forseti Íslands.	Hvað ætli Doktor Margrét segi við þessu?	Simbi Sjómaður siglir djarft um höfin blá.
36	1.3.2 b	Þetta er Arngrímur Jónsson, ekki Guðmundur góði.	Jón lærði var Guðmundsson.	Þuríður formaður fæddist árið 1777.	Þetta er Arngrímur Jónsson, ekki Guðmundur Góði.	Jón Lærði var Guðmundsson.	Þuríður Formaður fæddist árið 1777.	Þetta er Arngrímur Jónsson, ekki Guðmundur Góði.	Jón Lærði var Guðmundsson.	Þuríður Formaður fæddist árið 1777.	Þetta er Arngrímur Jónsson, ekki Guðmundur Góði.	Jón var lærði Guðmundsson.	Þuríður formaður fæddist árið 1777.	Þetta er Arngrímur Jónsson, ekki Guðmundur Góði.	Jón Lærði var Guðmundsson.	Þuríður formaður fæddist árið 1777.	Þetta er Arngrímur Jónsson, ekki Guðmundur Góði.	Jón Lærði var Guðmundsson.	Þuríður formaður fæddist árið 1777.	Þetta er Arngrímur Jónsson, ekki Guðmundur Góði.	Jón Lærði var Guðmundsson.	Þuríður Formaður fæddist árið 1777.	Þetta er Arngrímur Jónsson, ekki Guðmundur Góði.	Jón Lærði var Guðmundsson.	Þuríður Formaður fæddist árið 1777.	Þetta er Arngrímur Jónsson, ekki Guðmundur Góði.	Jón Lærði var Guðmundsson.	Þuríður Formaður fæddist árið 1777.	Þetta er Arngrímur Jónsson, ekki Guðmundur Góði.	Jón Lærði var Guðmundsson.	Þuríður Formaður fæddist árið 1777.	Þetta er Arngrímur Jónsson, ekki Guðmundur Góði.	Jón Lærði var Guðmundsson.	Þuríður formaður fæddist árið 1777.
37	1.3.2 c	Á morgun er strax kominn fimmtudagur.	Ég á sem betur fer ekki afmæli fyrr en í júlí.	Það kemur þér kannski ekki á óvart að Þorri á afmæli á þorranum.	Á morgun er strax kominn Fimmtudagur.	Ég á sem betur fer ekki afmæli fyrr en í Júlí.	Það kemur þér kannski ekki á óvart að Þorri á afmæli á Þorranum.	Á morgun er strax kominn fimmtudagur.	Ég á sem betur fer ekki afmæli fyrr en í júlí.	Það kemur þér kannski ekki á óvart að Þorri á afmæli á Þorranum.	Á morgun er strax kominn Fimmtudagur.	Ég á sem betur fer ekki afmæli fyrr en í júlí.	Það kemur þér kannski ekki á óvart að Þorri á afmæli á Þorranum.	Á morgun er strax kominn fimmtudagur.	Ég á sem betur fer ekki afmæli fyrr en í júlí.	Það kemur þér kannski ekki á óvart að Þorri á afmæli á Þorranum.	Á morgun er strax kominn fimmtudagur.	Ég á sem betur fer ekki afmæli fyrr en í júlí.	Það kemur þér kannski ekki á óvart að Þorri á afmæli á Þorranum.	Á morgun er strax kominn Fimmtudagur.	Ég á sem betur fer ekki afmæli fyrr en í Júlí.	Það kemur þér kannski ekki á óvart að Þorri á afmæli á Þorranum.	Á morgun er strax kominn Fimmtudagur.	Ég á sem betur fer ekki afmæli fyrr en í Júlí.	Það kemur þér kannski ekki á óvart að Þorri á afmæli á Þorranum.	Á morgun er strax kominn Fimmtudagur.	Ég á sem betur fer ekki afmæli fyrr en í Júlí.	Það kemur þér kannski ekki á óvart að Þorri á afmæli á Þorranum.	Á morgun er strax kominn Fimmtudagur.	Ég á sem betur fer ekki afmæli fyrr en í Júlí.	Það kemur þér kannski ekki á óvart að Þorri á afmæli á Þorranum.	Á morgun er strax kominn fimmtudagur.	Ég á sem betur fer ekki afmæli fyrr en í Júlí.	Það kemur þér kannski ekki á óvart að Þorri á afmæli á Þorranum.
38	1.3.2 d	Hann lærði heimspeki áður en hann fór í tölvugeirann.	Í auglýsingunni kemur fram að krafist sé stúdentsprófs.	Ég hef nánast alltaf starfað í hjúkrun.	Hann lærði Heimspeki áður en hann fór í tölvugeirann.	Í auglýsingunni kemur fram að krafist sé Stúdentsprófs.	Ég hef nánast alltaf starfað í Hjúkrun.	Hann lærði heimspeki áður en hann fór í tölvugeirann.	Í auglýsingunni kemur fram að krafist sé stúdentsprófs.	Ég hef nánast alltaf starfað í Hjúkrun.	Hann lærði heimspeki áður en hann fór í tölvugeirann.	Í auglýsingunni kemur fram að krafist sé stúdentsprófs.	Ég hef nánast alltaf starfað í hjúkrun.	Hann lærði heimspeki áður en hann fór í tölvugeirann.	Í auglýsingunni kemur fram að krafist sé stúdentsprófs.	Ég hef nánast alltaf starfað í hjúkrun.	Hann lærði Heimspeki áður en hann fór í tölvugeirann.	Í auglýsingunni kemur fram að krafist sé Stúdentsprófs.	Ég hef nánast alltaf starfað í Hjúkrun.	Hann lærði Heimspeki áður en hann fór í tölvugeirann.	Í auglýsingunni kemur fram að krafist sé Stúdentsprófs.	Ég hef nánast alltaf starfað í Hjúkrun.	Hann lærði Heimspeki áður en hann fór í tölvugeirann.	Í auglýsingunni kemur fram að krafist sé Stúdentsprófs.	Ég hef nánast alltaf starfað í Hjúkrun.	Hann lærði Heimspeki áður en hann fór í tölvugeirann.	Í auglýsingunni kemur fram að krafist sé Stúdentsprófs.	Ég hef nánast alltaf starfað í Hjúkrun.	Hann lærði Heimspeki áður en hann fór í tölvugeirann.	Í auglýsingunni kemur fram að krafist sé Stúdentsprófs.	Ég hef nánast alltaf starfað í Hjúkrun.	Hann lærði heimspeki áður en hann fór í tölvugeirann.	Í auglýsingunni kemur fram að krafist sé stúdentsprófs.	Ég hef nánast alltaf starfað í hjúkrun.
